iteration,field,type,id,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00,2022-01-01 09:00:00,2022-01-01 10:00:00,2022-01-01 11:00:00,2022-01-01 12:00:00,2022-01-01 13:00:00,2022-01-01 14:00:00,2022-01-01 15:00:00,2022-01-01 16:00:00,2022-01-01 17:00:00,2022-01-01 18:00:00,2022-01-01 19:00:00,2022-01-01 20:00:00,2022-01-01 21:00:00,2022-01-01 22:00:00,2022-01-01 23:00:00,2022-01-02 00:00:00,2022-01-02 01:00:00,2022-01-02 02:00:00,2022-01-02 03:00:00,2022-01-02 04:00:00,2022-01-02 05:00:00,2022-01-02 06:00:00,2022-01-02 07:00:00,2022-01-02 08:00:00,2022-01-02 09:00:00,2022-01-02 10:00:00,2022-01-02 11:00:00,2022-01-02 12:00:00,2022-01-02 13:00:00,2022-01-02 14:00:00,2022-01-02 15:00:00,2022-01-02 16:00:00
0,vm_pu,bus,bus1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,vm_pu,bus,bus2,0.9970299238939181,0.9984655432918589,0.9984384807444466,0.9969104907163009,0.9966490447082077,0.9990238649914059,0.9982604616702762,0.9985621117157321,0.9979247025372329,0.9959013075708046,0.9986573678748772,0.9987425514573874,0.9976314438381796,0.9980807494692878,0.9992863811506253,0.9993214230861425,0.999080453015091,0.9983122051626079,0.9991626477916602,0.99941256446049,0.9971999630654044,0.9979335384103876,0.9991732746797773,0.9990225697284679,0.9985125392933459,0.9992001913226477,0.999130146693109,0.9974484597540931,0.9999317120107809,0.9963049800762493,0.9983600511371067,0.9975006593036568,0.9986279314825028,0.9994162421687733,0.9993214617518417,0.9978111505887353,0.9992274419552334,0.9989569866110214,0.9959482378238993,0.999704322577566
0,vm_pu,bus,bus3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,vm_pu,bus,bus4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,vm_pu,bus,bus5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,vm_pu,bus,bus6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,vm_pu,bus,bus7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,vm_pu,bus,bus8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,vm_pu,bus,bus9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,vm_pu,bus,bus10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
