intensity;tower_type3
0;0
1;0.02
2;0.03
3;0.04
4;0.04
5;0.05
6;0.07
7;0.01
8;0.1
9;0.12
10;0.15
11;0
12;0.22
13;0.27
14;0.33
15;0.4
16;0.49
17;0.6
18;0.73
19;0.89
20;1.09
21;1.33
22;1.63
23;1.99
24;2.43
25;2.97
26;3.63
27;4.43
28;5.41
29;6.61
30;8.07
31;9.85
32;0
33;0
34;0
35;0
36;0
37;0
38;0
39;0
40;0
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0.01
52;0.01
53;0.01
54;0.01
55;0.01
56;0.01
57;0.02
58;0.02
59;0.03
60;0.03
61;0.04
62;0.05
63;0.06
64;0.07
65;0.09
66;0.11
67;0.13
68;0.16
69;0.2
70;0.24
71;0.29
72;0.36
73;0.44
74;0.54
75;0.65
