intensity;tower_type_1;tower_type_2;pole_type_1;pole_type_2
0;0.000;0.000;0.000;0.000
1;0.000;0.000;0.000;0.000
2;0.000;0.000;0.000;0.000
3;0.000;0.000;0.000;0.000
4;0.000;0.000;0.000;0.000
5;0.000;0.000;0.000;0.001
6;0.000;0.000;0.000;0.002
7;0.000;0.000;0.000;0.003
8;0.000;0.000;0.000;0.004
9;0.000;0.000;0.000;0.005
10;0.000;0.000;0.001;0.007
11;0.000;0.000;0.001;0.008
12;0.000;0.000;0.001;0.010
13;0.000;0.000;0.002;0.012
14;0.000;0.000;0.002;0.015
15;0.000;0.000;0.003;0.018
16;0.000;0.000;0.004;0.022
17;0.000;0.000;0.005;0.027
18;0.000;0.000;0.007;0.033
19;0.000;0.001;0.008;0.040
20;0.000;0.001;0.010;0.048
21;0.000;0.001;0.012;0.057
22;0.000;0.001;0.015;0.069
23;0.000;0.001;0.018;0.083
24;0.000;0.001;0.022;0.099
25;0.000;0.002;0.027;0.118
26;0.000;0.002;0.033;0.141
27;0.000;0.002;0.040;0.168
28;0.000;0.003;0.048;0.199
29;0.001;0.003;0.057;0.234
30;0.001;0.004;0.069;0.275
31;0.001;0.005;0.083;0.322
32;0.001;0.006;0.099;0.374
33;0.001;0.007;0.118;0.431
34;0.001;0.009;0.141;0.494
35;0.002;0.011;0.168;0.560
36;0.002;0.013;0.199;0.628
37;0.002;0.015;0.234;0.696
38;0.003;0.018;0.275;0.762
39;0.003;0.022;0.322;0.823
40;0.004;0.027;0.374;0.876
41;0.005;0.032;0.431;0.919
42;0.006;0.038;0.494;0.952
43;0.007;0.046;0.560;0.974
44;0.009;0.055;0.628;0.988
45;0.011;0.066;0.696;0.995
46;0.013;0.079;0.762;0.998
47;0.015;0.095;0.823;1.000
48;0.018;0.113;0.876;1.000
49;0.022;0.135;0.919;1.000
50;0.027;0.160;0.952;1.000
51;0.032;0.189;0.974;1.000
52;0.038;0.224;0.988;1.000
53;0.046;0.263;0.995;1.000
54;0.055;0.308;0.998;1.000
55;0.066;0.358;1.000;1.000
56;0.079;0.414;1.000;1.000
57;0.095;0.475;1.000;1.000
58;0.113;0.539;1.000;1.000
59;0.135;0.607;1.000;1.000
60;0.160;0.676;1.000;1.000
61;0.189;0.743;1.000;1.000
62;0.224;0.805;1.000;1.000
63;0.263;0.861;1.000;1.000
64;0.308;0.907;1.000;1.000
65;0.358;0.943;1.000;1.000
66;0.414;0.968;1.000;1.000
67;0.475;0.984;1.000;1.000
68;0.539;0.993;1.000;1.000
69;0.607;0.998;1.000;1.000
70;0.676;0.999;1.000;1.000
71;0.743;1.000;1.000;1.000
72;0.805;1.000;1.000;1.000
73;0.861;1.000;1.000;1.000
74;0.907;1.000;1.000;1.000
75;0.943;1.000;1.000;1.000
76;0.968;1.000;1.000;1.000
77;0.984;1.000;1.000;1.000
78;0.993;1.000;1.000;1.000
79;0.998;1.000;1.000;1.000
80;0.999;1.000;1.000;1.000
81;1.000;1.000;1.000;1.000
82;1.000;1.000;1.000;1.000
83;1.000;1.000;1.000;1.000
84;1.000;1.000;1.000;1.000
85;1.000;1.000;1.000;1.000
86;1.000;1.000;1.000;1.000
87;1.000;1.000;1.000;1.000
88;1.000;1.000;1.000;1.000
89;1.000;1.000;1.000;1.000
90;1.000;1.000;1.000;1.000
