strata,iteration,field,type,id,2022-01-01 01:00:00,2022-01-01 02:00:00,2022-01-01 03:00:00,2022-01-01 04:00:00,2022-01-01 05:00:00,2022-01-01 06:00:00,2022-01-01 07:00:00,2022-01-01 08:00:00
0,0,in_service,bus,EHV Bus 1865,1.0,1.0,,,,,,
0,0,in_service,bus,EHV Bus 1866,1.0,1.0,,,,,,
0,0,in_service,bus,EHV Bus 3092,1.0,1.0,,,,,,
0,0,in_service,bus,EHV Bus 3093,1.0,1.0,,,,,,
0,0,in_service,bus,EHV Bus 3094,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 1,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 10,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 100,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 101,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 102,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 103,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 104,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 105,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 106,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 107,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 108,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 109,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 11,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 110,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 111,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 112,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 113,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 114,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 115,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 116,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 117,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 118,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 119,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 12,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 120,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 121,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 122,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 123,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 124,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 125,1.0,1.0,,,,,,
0,0,in_service,bus,HV2 Bus 126,1.0,1.0,,,,,,
