,z
0,-0.0002857163853924316
1,-0.00026711684132652014
2,-0.0002485154456272065
3,-0.00022991219792589668
4,-0.00021130709785388557
5,-0.0001927001450423571
6,-0.00017409133912227315
7,-0.00015548067972470658
8,-0.00013686816648050826
9,-0.00011825379902030697
10,-9.963757697473152e-05
11,-8.101949997429969e-05
12,-6.239956764952925e-05
13,-4.3777779630382874e-05
14,-2.5154135547156287e-05
15,-6.52863502992318e-06
16,1.2098722291242758e-05
17,3.072793678637886e-05
18,4.93590088261886e-05
19,6.799193878093135e-05
20,8.662672702097751e-05
21,0.00010526337391703056
22,0.00012390187983979395
23,0.00014254224516008218
24,0.00016118447024870974
25,0.00017982855547704624
26,0.00019847450121635024
27,0.00021712230783732522
28,0.00023577197571178488
29,0.0002544235052112098
30,0.0002730768967070807
31,0.00029173215057121116
32,0.00031038926717552595
33,0.0003290482468920608
34,0.00034770909009240736
35,0.00036637179714915646
36,0.0003850363684345659
37,0.0004037028043211155
38,0.000422371105180952
39,0.0004410412713872214
40,0.0004597133033120704
41,0.00047838720132886703
42,0.0004970629658103132
43,0.0005157405971296658
44,0.0005344200956598488
45,0.0005531014617743413
46,0.0005717846958466222
47,0.0005904697982501705
48,0.000609156771696262
49,0.0006278456149809708
50,0.0006465363277060598
51,0.0006652289102451192
52,0.0006839233629722941
53,0.0007026196862613965
54,0.0007213178804866827
55,0.0007400179460222978
56,0.0007587198832422759
57,0.0007774236925216504
58,0.0007961293742345665
59,0.0008148369287557244
60,0.0008335463564601575
61,0.000852257657722344
62,0.0008709708329177612
63,0.0008896858824215537
64,0.0009084028066086436
65,0.0009271216058543974
66,0.0009458422805345146
67,0.0009645648310246946
68,0.0009832892577004149
69,0.001002015560937597
70,0.0010207437411122733
71,0.0010394737986003655
72,0.001058205733778128
73,0.0010769395470219267
74,0.001095675238708016
75,0.0011144128092130945
76,0.001133152258913639
77,0.00115189358818657
78,0.0011706367974086973
79,0.0011893818869568307
80,0.001208128857208557
81,0.0012268777085404636
82,0.0012456284413305818
83,0.0012643810559559432
84,0.0012831355527940236
85,0.001301891932222854
86,0.001320650194619799
87,0.001339410340363445
88,0.0013581723698311565
89,0.0013769362834014087
90,0.0013957020814525656
91,0.001414469764362769
92,0.0014332393325106052
93,0.001452010786274771
94,0.0014707841260339638
95,0.0014895593521672135
96,0.001508336465052884
97,0.001527115465070783
98,0.0015458963525996072
99,0.001564679128019053
100,0.0015834637917081507
101,0.0016022503440468183
102,0.0016210387854145303
103,0.0016398291161910938
104,0.0016586213367565383
105,0.001677415447490671
106,0.0016962114487736324
107,0.0017150093409858957
108,0.0017338091245076015
109,0.001752610799719334
110,0.001771414367001789
111,0.0017902198267353286
112,0.0018090271793012036
113,0.0018278364250801094
114,0.0018466475644532965
115,0.0018654605978017935
116,0.001884270189074333
117,0.0019030869515554993
118,0.0019219193936768075
119,0.001940739947779213
120,0.0019595623981224497
121,0.0019783867450863246
122,0.001997212989050867
123,0.0020160411303961068
124,0.0020348711695022947
125,0.0020537031067495715
126,0.0020725369425186324
127,0.002091372677189951
128,0.0021102103111442228
129,0.002129049844762365
130,0.0021478912784254067
131,0.002166734612514265
132,0.0021855798474103016
133,0.002204426983494656
134,0.0022232760211492453
135,0.0022421269607554306
136,0.002260979802694796
137,0.0022798345473495907
138,0.002298691195101399
139,0.002317549746332581
140,0.0023364102014256094
141,0.0023552725607624003
142,0.002374136824725981
143,0.0023930029936983788
144,0.002411871068063065
145,0.0024307410482024006
146,0.0024496129344996342
147,0.002468486727337904
148,0.002487362427100459
149,0.0025062400341707702
150,0.0025251195489325307
151,0.0025440009717689893
152,0.0025628843030641724
153,0.002581769543202106
154,0.002600656692566816
155,0.0026195457515423293
156,0.0026384367205132264
157,0.002657329599863645
158,0.0026762243899781657
159,0.0026951210912417034
160,0.0027140197040390612
161,0.0027329202287549315
162,0.0027518226657747835
163,0.0027707270154834207
164,0.0027896332782665345
165,0.0028085414545092613
166,0.0028274515445972925
167,0.0028463635489166528
168,0.0028652774678527004
169,0.002884193301791904
170,0.0029031110511197333
171,0.0029220307162231007
172,0.002940952297488031
173,0.0029598757953008814
174,0.002978801210048565
175,0.0029977285421175504
176,0.003016657791894861
177,0.003035588959767521
178,0.003054522046122443
179,0.003073457051347206
180,0.0030923939758288332
181,0.003111332819955237
182,0.003130273584113663
183,0.0031492162686920233
184,0.0031681608740782297
185,0.003187107400660527
186,0.0032060558488266055
187,0.003225006218964932
188,0.0032439585114640845
189,0.003262912726712197
190,0.003281868865098403
191,0.00330082692701128
192,0.0033197869128396285
193,0.0033387488229723594
194,0.003357712657799161
195,0.003376678417708834
196,0.0033956461030911766
197,0.003414615714335323
198,0.0034335826626098465
199,0.003452556162742426
200,0.003471531589681498
201,0.0034905089438183046
202,0.0035094882255444215
203,0.0035284694352514245
204,0.0035474525733310003
205,0.0035664376401750575
206,0.003585424636175505
207,0.0036044135617243622
208,0.0036234044172140933
209,0.003642397203036718
210,0.003661391919584811
211,0.0036803885672508363
212,0.0036993871464275907
213,0.003718387657507649
214,0.0037373901008841415
215,0.003756394476950198
216,0.003775400786098837
217,0.003794409028723189
218,0.003813419205216828
219,0.003832431315973439
220,0.003851445361386152
221,0.0038704613418493183
222,0.003889479257756401
223,0.00390849910950164
224,0.003927520897479164
225,0.0039465446220828815
226,0.003965570283707587
227,0.003984597882747631
228,0.0040036274195975885
229,0.0040226588946521424
230,0.0040416923083061995
231,0.004060727660954555
232,0.0040797649529926705
233,0.004098804184815452
234,0.0041178453568183615
235,0.00413688846939686
236,0.004155933522946409
237,0.004174980517862803
238,0.004194029454541948
239,0.004213080333379748
240,0.004232133154772
241,0.0042511879191152735
242,0.004270244626805586
243,0.004289303278239509
244,0.004308363873813503
245,0.004327426413924362
246,0.004346490898968769
247,0.004365557329343739
248,0.004384625705446288
249,0.004403696027673543
250,0.004422768296422741
251,0.004441842512091232
252,0.004460918675076697
253,0.004479996785776819
254,0.004499076844589167
255,0.004518158851911869
256,0.004537242808142716
257,0.004556328713679725
258,0.004575416568921686
259,0.004594506374266616
260,0.0046135981301127504
261,0.004632691836859215
262,0.00465178749490458
263,0.004670885104647637
264,0.004689984666487512
265,0.004709086180823219
266,0.004728189648053993
267,0.004747295068579183
268,0.0047664024427983565
269,0.004785511771111084
270,0.004804623053917045
271,0.004823736291616032
272,0.004842851484608168
273,0.0048619686332935785
274,0.004881087738072387
275,0.0049002087993448296
276,0.004919331817511696
277,0.004938456792973112
278,0.00495758372613031
279,0.0049767126173837495
280,0.004995843467134331
281,0.0050149762757836225
282,0.005034111043732303
283,0.005053247771381941
284,0.005072386459133993
285,0.005091527107390137
286,0.005110669716551719
287,0.005129814287020973
288,0.005148960819199577
289,0.005168109313489766
290,0.005187259770293551
291,0.0052064121900133875
292,0.005225566573051621
293,0.005244722919810929
294,0.005263881230693768
295,0.005283041506103481
296,0.005302203746442413
297,0.005321367952113909
298,0.005340534123521201
299,0.005359702261067412
300,0.0053788723651561066
301,0.005398044436190852
302,0.005417218474575325
303,0.0054363944807133135
304,0.005455572455008495
305,0.0054747523978654344
306,0.00549393430968792
307,0.005513118190880517
308,0.005532304041847347
309,0.005551491862993196
310,0.005570681654722631
311,0.005589873417440661
312,0.005609067151552072
313,0.005628262857461874
314,0.005647460535575077
315,0.0056666601862974675
316,0.005685861810033943
317,0.005705065407190402
318,0.005724270978172519
319,0.005743478523385859
320,0.005762688043236652
321,0.005781899538130686
322,0.005801113008474301
323,0.00582032845467384
324,0.005839545877135421
325,0.005858765276266054
326,0.005877986652472078
327,0.005897210006160392
328,0.005916435337738113
329,0.005935662647611917
330,0.005954891936189144
331,0.005974123203877357
332,0.005993356451083787
333,0.006012591678215884
334,0.006031828885681656
335,0.006051068073888444
336,0.006070309243244587
337,0.006089552394157982
338,0.00610879752703708
339,0.006128044642289665
340,0.006147293740324633
341,0.006166544821550324
342,0.006185797886375521
343,0.006205052935209121
344,0.006224309968459796
345,0.006243568986536996
346,0.0062628299898497275
347,0.00628209297880733
348,0.006301357953819142
349,0.006320624915294948
350,0.006339893863644308
351,0.006359164799277006
352,0.00637843772260327
353,0.006397712634033104
354,0.006416989533976514
355,0.006436268422843838
356,0.00645554930104586
357,0.006474832168993028
358,0.006494117027096014
359,0.006513403875765378
360,0.00653269271541268
361,0.006551983546448703
362,0.006571276369284673
363,0.006590571184331928
364,0.006609867992002028
365,0.006629166792706642
366,0.006648467586857443
367,0.006667770374866211
368,0.0066870751571449505
369,0.006706381934106109
370,0.00672569070616158
371,0.0067450014737237
372,0.006764314237205471
373,0.006783628997019009
374,0.006802945753576983
375,0.00682226450729273
376,0.0068415852585791415
377,0.00686090800784922
378,0.006880232755516413
379,0.006899559501993946
380,0.006918888247695487
381,0.006938218993034595
382,0.006957551738425161
383,0.006976886484280964
384,0.00699622323101623
385,0.007015561979045071
386,0.007034902728781489
387,0.007054245480640486
388,0.007073590235036065
389,0.007092936992383225
390,0.007112285753096748
391,0.007131636517591522
392,0.00715098928628255
393,0.007170344059585165
394,0.007189700837914703
395,0.007209059621686498
396,0.0072284204113163275
397,0.007247783207219638
398,0.00726714800981243
399,0.007286514819510814
400,0.00730588363673057
