input file field,internal field,pandapower field,data type
f_hz,f_hz,f_hz,float
name,id,name,string
sn_mva,sn_mva,sn_mva,float
add_stdtypes,add_stdtypes,add_stdtypes,bool
index,index,index,int
type,type,type,string
std_type,std_type,std_type,string
vn_kv,vn_kv,vn_kv,float
zone,zone,zone,string
max_vm_pu,max_vm_pu,max_vm_pu,float
min_vm_pu,min_vm_pu,min_vm_pu,float
in_service,in_service,in_service,bool
parallel,parallel,parallel,int
tap_pos,tap_pos,tap_pos,int
tap2_pos,tap2_pos,tap2_pos,int
xn_ohm,xn_ohm,xn_ohm,float
tap_dependent_impedance,tap_dependent_impedance,tap_dependent_impedance,bool
vk_percent_characteristic,vk_percent_characteristic,vk_percent_characteristic,float
vkr_percent_characteristic,vkr_percent_characteristic,vkr_percent_characteristic,float
vector_group,vector_group,vector_group,string
max_loading_percent,max_loading_percent,max_loading_percent,float
df,df,df,float
vn_hv_kv,vn_hv_kv,vn_hv_kv,float
vn_lv_kv,vn_lv_kv,vn_lv_kv,float
vk_percent,vk_percent,vk_percent,float
vkr_percent,vkr_percent,vkr_percent,float
pfe_kw,pfe_kw,pfe_kw,float
i0_percent,i0_percent,i0_percent,float
shift_degree,shift_degree,shift_degree,float
tap_side,tap_side,tap_side,string
tap_neutral,tap_neutral,tap_neutral,int
tap_min,tap_min,tap_min,int
tap_max,tap_max,tap_max,int
tap_step_percent,tap_step_percent,tap_step_percent,float
tap_step_degree,tap_step_degree,tap_step_degree,float
tap_phase_shifter,tap_phase_shifter,tap_phase_shifter,bool
vk0_percent,vk0_percent,vk0_percent,float
vkr0_percent,vkr0_percent,vkr0_percent,float
mag0_percent,mag0_percent,mag0_percent,float
mag0_rx,mag0_rx,mag0_rx,float
si0_hv_partial,si0_hv_partial,si0_hv_partial,float
length_km,length_km,length_km,float
alpha,alpha,alpha,float
temperature_degree_celsius,temperature_degree_celsius,temperature_degree_celsius,float
tdpf,tdpf,tdpf,bool
wind_speed_m_per_s,wind_speed_m_per_s,wind_speed_m_per_s,float
wind_angle_degree,wind_angle_degree,wind_angle_degree,float
conductor_outer_diameter_m,conductor_outer_diameter_m,conductor_outer_diameter_m,float
air_temperature_degree_celsius,air_temperature_degree_celsius,air_temperature_degree_celsius,float
reference_temperature_degree_celsius,reference_temperature_degree_celsius,reference_temperature_degree_celsius,float
solar_radiation_w_per_sq_m,solar_radiation_w_per_sq_m,solar_radiation_w_per_sq_m,float
solar_absorptivity,solar_absorptivity,solar_absorptivity,float
emissivity,emissivity,emissivity,float
r_theta_kelvin_per_mw,r_theta_kelvin_per_mw,r_theta_kelvin_per_mw,float
mc_joule_per_m_k,mc_joule_per_m_k,mc_joule_per_m_k,float
r_ohm_per_km,r_ohm_per_km,r_ohm_per_km,float
x_ohm_per_km,x_ohm_per_km,x_ohm_per_km,float
c_nf_per_km,c_nf_per_km,c_nf_per_km,float
r0_ohm_per_km,r0_ohm_per_km,r0_ohm_per_km,float
x0_ohm_per_km,x0_ohm_per_km,x0_ohm_per_km,float
c0_nf_per_km,c0_nf_per_km,c0_nf_per_km,float
max_i_ka,max_i_ka,max_i_ka,float
g_us_per_km,g_us_per_km,g_us_per_km,float
g0_us_per_km,g0_us_per_km,g0_us_per_km,float
p_mw,p_mw,p_mw,float
q_mvar,q_mvar,q_mvar,float
const_z_percent,const_z_percent,const_z_percent,float
const_i_percent,const_i_percent,const_i_percent,float
scaling,scaling,scaling,float
max_p_mw,max_p_mw,max_p_mw,float
min_p_mw,min_p_mw,min_p_mw,float
max_q_mvar,max_q_mvar,max_q_mvar,float
min_q_mvar,min_q_mvar,min_q_mvar,float
mode,mode,mode,string
k,k,k,float
rx,rx,rx,float
generator_type,generator_type,generator_type,string
lrc_pu,lrc_pu,lrc_pu,float
max_ik_ka,max_ik_ka,max_ik_ka,float
kappa,kappa,kappa,float
current_source,current_source,current_source,bool
controllable,controllable,controllable,bool
vm_pu,vm_pu,vm_pu,float
va_degree,va_degree,va_degree,float
s_sc_max_mva,s_sc_max_mva,s_sc_max_mva,float
s_sc_min_mva,s_sc_min_mva,s_sc_min_mva,float
rx_max,rx_max,rx_max,float
rx_min,rx_min,rx_min,float
r0x0_max,r0x0_max,r0x0_max,float
x0x_max,x0x_max,x0x_max,float
slack,slack,slack,bool
slack_weight,slack_weight,slack_weight,float
xdss_pu,xdss_pu,xdss_pu,float
rdss_ohm,rdss_ohm,rdss_ohm,float
cos_phi,cos_phi,cos_phi,float
pg_percent,pg_percent,pg_percent,float
power_station_trafo,power_station_trafo,power_station_trafo,int
cp1_eur_per_mw,cp1_eur_per_mw,cp1_eur_per_mw,float
cp0_eur,cp0_eur,cp0_eur,float
cq1_eur_per_mvar,cq1_eur_per_mvar,cq1_eur_per_mvar,float
cq0_eur,cq0_eur,cq0_eur,float
cp2_eur_per_mw2,cp2_eur_per_mw2,cp2_eur_per_mw2,float
cq2_eur_per_mvar2,cq2_eur_per_mvar2,cq2_eur_per_mvar2,float
et,et,et,string
closed,closed,closed,bool
in_ka,in_ka,in_ka,float
node,node,bus,string
element,element,element,string
associated_elements,associated_elements,,string
node_p,node_p,hv_bus,string
node_s,node_s,lv_bus,string
from_bus,from_bus,from_bus,string
to_bus,to_bus,to_bus,string
longitude,longitude,geodata-y,float
latitude,latitude,geodata-x,float
from_longitude,from_longitude,geodata-from-y,float
from_latitude,from_latitude,geodata-from-x,float
to_longitude,to_longitude,geodata-to-y,float
to_latitude,to_latitude,geodata-to-x,float
lineSpan,lineSpan,,float
start time,startTime,,string
duration,duration,,int
hazard start time,hazardStartTime,,string
hazard duration,hazardDuration,,int
normalTTR,normalTTR,,float
i_montecarlo,i_montecarlo,,bool
repair_priority,priority,,int
return_period,return_period,,string
fragility_curve,fragilityCurve,,string
kf,kf,,
weatherTTR,weatherTTR,,
