input file field,internal field,pandapower field,data type
name,id,,
f_hz,f_hz,,float
sn_mva,sn_mva,,float
index,index,,
vn_kv,vn_kv,,float
longitude,longitude,,float
latitude,latitude,,float
zone,zone,,
max_vm_pu,max_vm_pu,,float
min_vm_pu,min_vm_pu,,float
in_service,in_service,,bool
fragility_curve,fragilityCurve,,
kf,kf,,
resilienceFull,resilienceFull,,
weatherTTR,weatherTTR,,
node_p,node_p,,
node_s,node_s,,
parallel,parallel,,
tap_pos,tap_pos,,
vector_group,vector_group,,
max_loading_percent,max_loading_percent,,
df,df,,
type,type,,
vn_hv_kv,vn_hv_kv,,float
vn_lv_kv,vn_lv_kv,,float
vk_percent,vk_percent,,float
vkr_percent,vkr_percent,,float
pfe_kw,pfe_kw,,float
i0_percent,i0_percent,,float
shift_degree,shift_degree,,float
tap_side,tap_side,,
tap_neutral,tap_neutral,,int
tap_min,tap_min,,int
tap_max,tap_max,,int
tap_step_percent,tap_step_percent,,float
tap_step_degree,tap_step_degree,,float
tap_phase_shifter,tap_phase_shifter,,int
from_bus,from_bus,,
to_bus,to_bus,,
length_km,length_km,,float
from_longitude,from_longitude,,
from_latitude,from_latitude,,
to_longitude,to_longitude,,
to_latitude,to_latitude,,
r_ohm_per_km,r_ohm_per_km,,float
x_ohm_per_km,x_ohm_per_km,,float
c_nf_per_km,c_nf_per_km,,float
r0_ohm_per_km,r0_ohm_per_km,,float
x0_ohm_per_km,x0_ohm_per_km,,float
c0_nf_per_km,c0_nf_per_km,,float
max_i_ka,max_i_ka,,float
g_us_per_km,g_us_per_km,,float
g0_us_per_km,g0_us_per_km,,float
node,node,,
p_mw,p_mw,,float
q_mvar,q_mvar,,float
const_z_percent,const_z_percent,,
const_i_percent,const_i_percent,,
scaling,scaling,,
max_p_mw,max_p_mw,,float
min_p_mw,min_p_mw,,float
max_q_mvar,max_q_mvar,,float
min_q_mvar,min_q_mvar,,float
controllable,controllable,,bool
vm_pu,vm_pu,,
va_degree,va_degree,,float
s_sc_max_mva,s_sc_max_mva,,float
s_sc_min_mva,s_sc_min_mva,,float
rx_max,rx_max,,float
rx_min,rx_min,,float
r0x0_max,r0x0_max,,float
x0x_max,x0x_max,,float
slack_weight,slack_weight,,
lack,lack,,
xdss_pu,xdss_pu,,
rdss_ohm,rdss_ohm,,
cos_phi,cos_phi,,
pg_percent,pg_percent,,
power_station_trafo,power_station_trafo,,
cp1_eur_per_mw,cp1_eur_per_mw,,float
cp0_eur,cp0_eur,,float
cq1_eur_per_mvar,cq1_eur_per_mvar,,float
cq0_eur,cq0_eur,,float
cp2_eur_per_mw2,cp2_eur_per_mw2,,float
cq2_eur_per_mvar2,cq2_eur_per_mvar2,,float
start time,startTime,,
duration,duration,,int
hazard start time,hazardStartTime,,
hazard duration,hazardDuration,,int
failureProb,failureProb,,float
normalTTR,normalTTR,,float
